YEAR,STATE,MEDIANINCOME
2018,AL,"49,936"
2018,AK,"68,734"
2018,AZ,"62,283"
2018,AR,"49,781"
2018,CA,"70,489"
2018,CO,"73,034"
2018,CT,"72,812"
2018,DE,"65,012"
2018,FL,"54,644"
2018,GA,"55,821"
2018,HI,"80,108"
2018,ID,"58,728"
2018,IL,"70,145"
2018,IN,"59,892"
2018,IA,"68,718"
2018,KS,"63,938"
2018,KY,"54,555"
2018,LA,"49,973"
2018,ME,"58,663"
2018,MD,"86,223"
2018,MA,"86,345"
2018,MI,"60,449"
2018,MN,"71,817"
2018,MS,"42,781"
2018,MO,"61,726"
2018,MT,"57,679"
2018,NE,"67,575"
2018,NV,"61,864"
2018,NH,"81,346"
2018,NJ,"74,176"
2018,NM,"48,283"
2018,NY,"67,274"
2018,NC,"53,369"
2018,ND,"66,505"
2018,OH,"61,633"
2018,OK,"54,434"
2018,OR,"69,165"
2018,PA,"64,524"
2018,RI,"62,266"
2018,SC,"57,444"
2018,SD,"59,463"
2018,TN,"56,060"
2018,TX,"59,785"
2018,UT,"77,067"
2018,VT,"70,066"
2018,VA,"77,151"
2018,WA,"79,726"
2018,WV,"50,573"
2018,WI,"62,629"
2018,WY,"62,539"
